epochtime,accelX,accelY,accelZ,magnX,magnY,magnZ,gyroX,gyroY,gyroZ
1398383833,-6260,-619,2606,-55,2850,-276,-4754,-32764,-911
1398383833,-4992,-1402,3629,47,2817,26,4510,-32764,-1612
1398383833,-4992,-1402,3373,132,2690,506,20935,-32764,-25067
1398383833,-1432,-2321,3419,132,2690,506,26333,-32764,-32413
1398383833,954,-1406,1693,102,2449,1004,16730,-32764,-29497
1398383833,2618,-415,401,-32,2244,1301,8769,-32764,-27817
1398383833,3478,1293,357,-158,2134,1460,284,-30039,-19821
1398383833,2892,968,255,-244,2091,1527,-2244,-10919,-7665
1398383833,2892,968,-257,-269,2089,1539,-2059,-4271,-4978
1398383833,1552,447,-398,-269,2089,1539,-1001,1527,-2169
1398383833,774,286,-853,-262,2090,1548,-449,1959,375
1398383833,784,373,-967,-270,2092,1550,111,1812,2003
1398383833,736,188,-1201,-276,2094,1540,-50,3003,2280
1398383833,224,141,-1352,-273,2097,1535,-517,2770,2468
1398383833,251,141,-1352,-273,2121,1522,-824,1546,2683
1398383833,99,231,-1501,-284,2121,1522,-1226,1011,2670
1398383833,79,285,-1537,-286,2136,1497,-2299,424,3006
1398383833,-67,244,-1515,-305,2161,1494,-2574,-69,3205
1398383833,-191,174,-1509,-323,2187,1477,-2367,-1177,3109
1398383833,-191,164,-1458,-349,2199,1468,-2068,-2280,2396
1398383833,-279,164,-1458,-349,2199,1471,-1475,-2732,2001
1398383833,-309,207,-1453,-370,2219,1471,-1380,-3470,1469
1398383833,-253,262,-1406,-400,2213,1471,-1363,-3514,1182
1398383833,-156,304,-1366,-429,2241,1454,-1464,-3394,862
1398383833,-150,308,-1331,-452,2241,1456,-1618,-3011,724
1398383833,-150,308,-1370,-465,2263,1450,-1670,-2758,503
1398383833,-124,305,-1370,-465,2263,1450,-1986,-1777,380
1398383833,-109,279,-1438,-480,2261,1442,-1864,-1233,243
1398383833,-164,210,-1497,-494,2277,1431,-1552,-146,-210
1398383833,-153,148,-1509,-486,2291,1427,-1148,359,-770
1398383833,-150,142,-1468,-466,2283,1421,-296,1069,-1087
1398383833,-150,142,-1468,-460,2282,1419,37,1199,-1402
1398383833,-184,168,-1442,-460,2282,1419,455,1240,-1458
1398383833,-141,213,-1378,-445,2276,1422,579,1103,-1425
1398383833,-120,275,-1329,-431,2268,1429,562,990,-1262
1398383833,-113,282,-1318,-420,2269,1426,430,538,-845
1398383833,-113,278,-1305,-414,2266,1432,314,203,-500
1398383833,-127,278,-1305,-414,2260,1429,112,-415,-255
1398383833,-141,289,-1329,-413,2260,1429,-85,-984,61
1398383834,-122,220,-1314,-422,2260,1439,-336,-1269,37
1398383834,-124,236,-1359,-431,2264,1439,-430,-1222,82
1398383834,-139,226,-1379,-440,2272,1435,-496,-1044,202
1398383834,-139,185,-1365,-450,2271,1436,-426,-972,385
1398383834,-185,185,-1365,-450,2271,1436,-199,-1098,74
1398383834,-225,150,-1361,-465,2269,1436,510,-1418,-173
1398383834,-228,183,-1390,-474,2266,1437,1247,-1233,-412
1398383834,-249,177,-1410,-480,2261,1454,2051,-951,-1171
1398383834,-166,159,-1407,-490,2248,1469,2422,-742,-1598
1398383834,-28,226,-1375,-473,2230,1485,2878,383,-2110
1398383834,-28,273,-1348,-460,2210,1496,2993,1467,-2337
1398383834,436,329,-1404,-419,2187,1494,2896,6841,-2540
1398383834,922,382,-1356,-347,2171,1495,3118,11907,-1996
1398383834,1582,470,-1358,-235,2151,1454,3474,19432,151
1398383834,2333,517,-1111,-97,2144,1385,3694,27531,4766
1398383834,2816,830,-803,71,2163,1273,3204,31794,7732
1398383834,3584,1151,-406,271,2235,1051,-1173,32736,13750
1398383834,3330,18,975,464,2385,618,-11818,32736,17784
1398383834,3429,-872,2643,515,2557,-3,-17097,32736,15178
1398383834,1844,-872,4267,351,2634,-573,-1474,32736,-5172
1398383834,-961,-1573,4267,201,2621,-869,4152,32736,-23101
1398383834,-6001,-652,4236,201,2633,-947,9528,32627,-5164
1398383834,-5488,37,3978,38,2759,-763,22685,-13231,10707
1398383834,-4456,676,2318,38,2833,-584,18905,-16567,20148
1398383834,-3302,580,2181,-73,2876,-419,12398,-29486,13555
1398383834,-901,236,1231,-110,2876,-320,6175,-21018,1117
1398383834,-193,-248,-291,-96,2859,-301,-617,-6982,-3300
1398383834,-1142,221,6,-30,2846,-331,-6322,2562,-753
1398383834,-1654,245,119,-38,2838,-381,-6547,2943,158
1398383834,-1562,245,119,-38,2838,-381,-6102,1672,308
1398383834,-1436,178,37,-36,2829,-427,-5222,259,-474
1398383834,-1322,132,6,-39,2828,-437,-2904,-2097,-832
1398383834,-1322,132,6,-39,2828,-437,-1972,-2825,-584
1398383834,-1244,131,-51,-27,2817,-446,-1410,-3256,126
1398383834,-1186,110,-84,-37,2825,-432,-1160,-3419,1848
1398383834,-1186,110,-84,-37,2825,-432,-496,-3417,1847
1398383834,-1175,35,-129,-35,2837,-432,-227,-3011,1572
1398383834,-1215,-55,-184,-45,2841,-424,-92,-2393,1487
1398383834,-1215,-55,-184,-45,2841,-424,8,-1233,1627
1398383834,-1298,-125,-102,-55,2853,-424,279,-674,1288
1398383834,-1320,-172,-111,-61,2856,-410,416,-223,695
1398383834,-1320,-172,-111,-61,2856,-410,538,164,143
1398383834,-1315,-170,2,-61,2853,-420,627,288,-353
1398383834,-1315,-130,36,-61,2855,-412,1111,208,-249
1398383834,-1299,-130,36,-61,2855,-412,1396,177,-98
1398383834,-1269,-64,29,-72,2859,-406,1640,129,26
1398383834,-1269,-64,39,-70,2862,-390,1811,138,441
1398383834,-1202,-42,39,-70,2862,-390,1872,412,696
1398383834,-1184,-10,59,-79,2869,-380,1800,470,817
1398383834,-1184,-3,117,-94,2869,-372,1694,429,1232
1398383834,-1222,-3,117,-94,2869,-372,1363,67,1559
1398383834,-1284,-9,61,-108,2876,-359,1102,-246,1943
1398383834,-1334,-2,79,-137,2878,-355,829,-854,2316
